age,sex,autonomy_freedom,autonomy_interesting,autonomy_options,competence_matched,competence_capable,competence_competent,related_important,related_fulfilling,related_not_close,enjoyment_fun,enjoyment_attention,enjoymen_boring,enjoyment_enjoyed,extrinsic_avoid,extrinsic_forget,extrinsic_compelled,extrinsic_escape,spane_acnh_positive,spane_acnh_negative,spane_acnh_good,spane_acnh_bad,spane_acnh_pleasant,spane_acnh_unpleasant,spane_acnh_happy,spane_acnh_sad,spane_acnh_afraid,spane_acnh_joyful,spane_acnh_angry,spane_acnh_contented,Hours,happiness_value
19,1,6,6,7,5,6,6,6,6,2,7,2,1,7,2,6,4,5,6,3,6,3,7,2,7,2,1,6,2,7,1.81,4.33
65,1,6,7,6,6,6,6,5,5,2,7,2,1,7,6,2,6,2,7,2,6,2,7,1,7,1,1,7,1,7,2.46,5.5
28,1,7,7,7,7,7,7,5,5,2,7,1,1,7,4,7,7,7,6,2,6,1,6,1,6,1,1,6,2,5,2.92,4.5
27,2,2,1,1,7,7,7,5,5,3,5,5,5,5,1,1,1,1,3,3,4,1,4,1,3,1,1,4,2,3,1.34,2.0
27,1,6,6,6,5,6,6,5,5,3,6,5,2,6,2,6,4,6,5,2,5,2,5,2,5,2,1,5,3,6,2.03,3.17
35,2,5,5,5,6,6,7,6,3,2,7,2,1,7,5,6,6,6,6,1,7,1,7,1,6,2,1,4,1,6,1.75,4.83
21,1,1,3,3,1,1,1,5,5,7,7,1,1,7,5,7,5,6,7,1,6,1,6,1,7,1,1,7,1,5,2.06,5.33
21,2,5,5,5,5,5,4,4,6,4,7,5,3,6,4,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1.43,0.0
33,2,6,5,5,4,4,5,5,5,3,6,2,3,5,1,2,6,5,6,3,5,2,5,1,6,4,1,6,3,6,1.23,3.33
43,2,7,7,7,7,7,7,7,7,1,7,1,1,7,1,1,4,1,6,2,6,2,6,1,6,1,1,6,1,6,1.85,4.67
26,2,5,5,6,6,6,6,5,5,2,7,2,2,7,3,6,3,7,6,2,7,2,7,2,7,2,3,6,1,6,1.67,4.5
39,2,5,5,4,6,4,4,4,4,2,6,4,4,5,2,4,3,4,5,2,5,2,5,2,5,2,2,5,2,5,1.01,3.0
37,1,6,6,6,6,6,6,5,5,2,6,1,2,7,5,5,5,6,5,1,5,1,5,1,5,1,1,5,3,4,2.03,3.5
32,2,5,5,5,2,4,4,4,4,4,6,2,2,6,2,2,6,2,5,2,5,2,5,2,5,2,2,5,2,5,1.43,3.0
25,1,6,5,5,4,5,6,6,5,2,7,3,5,5,4,6,5,7,5,2,4,2,6,2,5,3,5,3,1,3,1.62,1.83
55,1,6,5,5,5,5,4,4,4,4,5,5,3,5,1,3,4,5,5,2,5,2,5,2,5,2,2,5,2,5,2.46,3.0
38,2,6,5,5,4,6,6,5,5,3,6,3,3,5,2,4,5,6,5,2,5,2,7,1,4,1,1,4,1,4,1.18,3.5
37,1,6,6,7,7,6,7,7,7,2,7,1,1,7,5,6,6,7,5,1,6,1,7,1,5,1,1,4,1,6,2.5,4.5
27,1,7,6,6,6,7,7,5,5,2,7,2,2,7,6,6,6,6,7,2,7,2,7,2,7,2,2,7,1,7,1.52,5.17
47,2,6,6,5,4,6,6,4,5,1,7,2,2,6,2,3,4,3,5,1,6,1,7,1,5,1,1,3,1,6,2.15,4.33
23,2,7,5,7,6,7,7,5,5,2,6,2,1,6,7,3,6,2,5,2,6,1,7,1,4,1,1,7,2,7,1.67,4.67
18,2,7,7,7,7,7,7,5,5,3,7,1,1,7,7,5,7,7,7,3,7,1,7,1,7,2,3,7,2,7,1.65,5.0
35,2,4,3,3,5,5,6,3,3,4,5,5,3,4,2,3,4,4,4,4,4,2,4,2,3,1,1,3,1,2,1.53,1.5
